Country Name,Country Code,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,ABW,,,,,0,,,,,,2.768382663,2.768382663,2.768382663,4.506179098,15.44282295,17.1,18.8,20.8,23,25.4,28,30.9,52,58,62,69,74,78.9,83.78
Andorra,AND,,,,,0,,,,,,1.526601023,3.050175385,6.886209218,7.635686143,10.53883561,10.53883561,11.26046872,13.54641288,26.83795439,37.60576622,48.936847,70.87,70.04,78.53,81,81,86.43442462,94,95.9
Afghanistan,AFG,,,,,0,,,,,,,,,,,0.004722568242,0.00456139517,0.08789125286,0.10580903,1.224148084,2.107123645,1.9,1.84,3.55,4,5,5.454545455,5.9,6.39
Angola,AGO,,,,,0,,,,,,0.0007759285246,0.005673745989,0.01845372408,0.07196408704,0.1050455625,0.1360138674,0.2703767456,0.3706820652,0.464814618,1.143366827,1.907647507,3.2,4.6,6,10,14.776,16.93721011,19.1,21.26
Albania,ALB,,,,,0,,,,,0.01116869549,0.03219682823,0.04859391876,0.06502737002,0.0814370446,0.1140973466,0.3257983771,0.3900812734,0.9719004152,2.420387798,6.043890864,9.609991316,15.03611541,23.86,41.2,45,49,54.65595904,57.2,60.1
Arab World,ARB,,,,,0,,,,,0.01702504938,0.03776068843,0.1310455767,0.2616151151,0.5985821496,1.139541123,1.56128817,2.693061013,3.645880783,7.006812461,8.393141725,11.65464791,14.20590224,18.59353118,21.5453539,24.5357799,26.53401309,29.95430206,32.34204501,34.51737473
United Arab Emirates,ARE,,,,,0,,,,,0.1029391746,0.3753935343,3.295592694,6.908302986,14.94269899,23.62530088,26.2717542,28.31648531,29.47795341,30.13129617,40,52,61,63,64,68,78,84.9999915,88,90.4
Argentina,ARG,,,,,0,,0.002992874146,0.02952706529,0.04370595114,0.08627708097,0.1419547044,0.2803398818,0.8307666797,3.284481956,7.038683086,9.780807285,10.88212438,11.91369655,16.03668411,17.72058337,20.9272021,25.94663294,28.11262348,34,45,51,55.8,59.9,64.7
Armenia,ARM,,,,,0,,,,0.009117014141,0.05274312331,0.09457290247,0.1116509345,0.1286594776,0.9707377575,1.300470022,1.631094667,1.960405046,4.575217225,4.899008571,5.252983352,5.631787777,6.021253397,6.21,15.3,25,32,37.5,41.9,46.3
American Samoa,ASM,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,,,,,0,,,,,2.200768802,2.858449577,3.480536838,4.0717165,5.300681138,6.482225737,8.899285515,12.5,17.22864878,24.26654372,27,30,34,38,42,47,52,58,63.4,64
Australia,AUS,,,,,0.5850947122,1.097203891,1.768764913,1.974611016,2.232101254,2.759654513,3.27524987,16.36935838,30.81323944,40.7837839,46.75611561,52.68926643,52.68926643,52.68926643,52.68926643,63,66,69.45,71.67,74.25,76,79.48769771,79,83,84.56
Austria,AUT,,,,,0.1303693769,0.2590815533,0.6428176188,0.76534273,1.393422968,1.890210524,6.909162353,9.533974317,15.42121932,23.0443171,33.73013295,39.18545018,36.56,42.7,54.28,58,63.6,69.37,72.87,73.45,75.17,78.7399931,80.02999392,80.6188,81
